year,month,u10,v10,mx2t,mn2t,tcc,t2,msl,t,q,u,v,z,SPI,grid_ID
1979,1,-2.958586299,-0.634959061,309.0237203,297.2839864,0.291987556,302.9923991,100796.7677,299.9706126,0.00849272,-4.568460906,-2.839551264,459.9917475,-0.715037311,303
1979,10,-0.049360077,-0.113635493,302.8514828,289.4593466,0.192154296,296.1333136,101346.7964,293.335081,0.004813255,-2.372457142,-3.721754651,904.8322941,-0.246504201,303
1979,11,-0.40419675,-0.341807862,308.1741679,294.7078817,0.306702508,301.3545766,101135.5565,298.360025,0.005545139,-2.79456532,-3.715220203,751.5175191,-0.921090203,303
1979,12,-1.089171887,-0.600054748,310.3444893,296.948569,0.327174603,303.5443706,100999.2855,300.5459614,0.006323849,-3.429895051,-3.687178072,622.3869964,-0.917537208,303
1979,2,-2.160727374,-0.715109185,303.8066919,294.093896,0.502479052,298.7593231,101125.8839,297.1149172,0.009923002,-3.892438213,-2.943332109,778.9581108,0.631925918,303
1979,3,-1.094551841,0.177123826,304.6425712,292.3038045,0.240658262,298.3172617,101149.3269,296.6908304,0.007577302,-2.81806986,-2.271989883,778.2966862,-0.183188366,303
1979,4,-0.844724336,0.173197233,301.8808665,290.4010498,0.386204038,295.8570343,101532.2005,293.9968821,0.006646926,-2.398848331,-2.093651859,1109.129879,-0.17988241,303
1979,5,-1.069922975,1.25829512,293.9761855,283.6643608,0.393304173,288.2714273,101978.6893,287.4077316,0.005905598,-2.386488665,-0.489189494,1467.294579,0.566633518,303
1979,6,-1.359588387,0.555043651,293.9105255,282.4592316,0.281412009,287.676828,102096.0518,287.3077718,0.00545071,-2.485410858,-1.33374464,1582.495561,-0.289461654,303
1979,7,-1.078143051,0.902460153,292.1533823,278.8058757,0.079996703,285.0570866,102283.4509,284.523974,0.00354301,-2.473988387,-1.114550415,1695.127406,-1.099545492,303
1979,8,-0.253860642,0.349180311,295.3606302,281.8382952,0.173820336,288.1291061,101913.4836,286.7525477,0.003866115,-1.82866889,-1.957976503,1386.172355,-0.325952292,303
1979,9,-0.645068108,-0.685323297,299.4702128,286.6724711,0.230299542,292.8079692,101766.2143,290.0783712,0.00513668,-2.378411736,-3.906057213,1274.930446,0.593817392,303
1980,1,-0.201754465,-0.623165775,309.3303902,297.1026365,0.312961449,302.9700268,100669.1825,300.4033735,0.007204448,-2.506318781,-3.406577798,365.977193,-0.559891851,303
1980,10,-0.388121554,-0.415598562,303.4056209,291.0399347,0.275592825,296.973428,101364.9972,294.5961629,0.006605261,-2.632205853,-3.222800651,960.1008665,1.399800181,303
1980,11,-0.753911094,-0.576590697,307.0296824,293.8608856,0.184343997,300.2643392,101172.8542,297.2582906,0.005440999,-3.071376022,-3.726942322,793.0135132,-1.262580983,303
1980,12,-0.949352091,-0.522994998,307.2344912,294.4562496,0.266728927,300.618924,101025.1754,297.7748443,0.006838521,-3.133511946,-3.529717082,656.3312875,-0.373703479,303
1980,2,-1.673539216,-0.156310029,307.0710239,296.0398707,0.327384545,301.3195496,100828.719,299.1715625,0.009905944,-3.476021454,-2.966870129,516.0110147,0.450208081,303
1980,3,-1.53781501,0.10148797,304.1306773,292.6163832,0.262862009,297.9891653,101315.6797,296.418838,0.008187323,-3.158448271,-2.367430353,926.6585152,0.802219861,303
